number,title,image,year,location,color_1,color_2,color_3,color_4,color_5
63,Weaver Near an Open Window,Van_Gogh_-_Weber_vor_offenem_Fenster_mit_Blick_auf_den_Turm_von_Nuenen.jpeg,1884,"Neue Pinakothek, Munich (F24)",#897B6C,#60594E,#484237,#605243,#5A554A
64,Congregation Leaving the Reformed Church in Nuenen,Van_Gogh_-_Die_Kirche_von_Nuenen_mit_Kirchgängern.jpeg,1884,"Van Gogh Museum, Amsterdam (F25)",#797564,#686559,#827D6B,#6F6C5D,#7C7664
65,Weaver Facing Right (Half-Figure),Van_Gogh_-_Weber_am_Webstuhl_-_(Profil_nach_rechts)1.jpeg,1884,Private collection (F26),#33362E,#84866B,#4F5247,#575946,#495243
66,"Weaver, Seen from the Front",Vincent_van_Gogh_0141.jpg,1884,"Museum Boijmans Van Beuningen, Rotterdam (F27)",#20170B,#403118,#5F5033,#342919,#34260F
67,Weaver Facing Left with Spinning Wheel,Van_Gogh_-_Weber_am_Webstuhl_mit_Haspel.jpeg,1884,"Museum of Fine Arts, Boston (F29)",#CBC0AA,#97694C,#706746,#9A925B,#3D392F
68,Loom With Weaver,Van_Gogh_-_Weber_am_Webstuhl_(von_vorn).jpeg,1884,"Kröller-Müller Museum, Otterlo, Netherlands (F30)",#685D4F,#746657,#A9967C,#39332D,#605548
70,Weaver Standing in Front of a Loom,"Van_Gogh_-_Weber_am_Webstuhl,_das_Gewebe_prüfend2.jpeg",1884,Private collection (F32),#302D2B,#474334,#45423F,#767265,#3B3629
71,Weaver Facing Right also Weaver Standing in Front of the Loom,"Van_Gogh_-_Weber_am_Webstuhl,_das_Gewebe_Prüfend1.jpeg",1884,Private collection (F33),#6D656F,#6C626D,#584F59,#645A65,#706872
72,The Old Tower at Nuenen with a Ploughman,Van_Gogh_-Der_alte_Friedhofsturm_in_Nuenen_mit_plügenden_Bauern.jpeg,1884,"Kröller-Müller Museum, Otterlo, Netherlands (F34)",#6A7C7A,#7C9593,#333E30,#718272,#A1B5A7
73,Loom With Weaver also Weaver Arranging Threads,"Van_Gogh_-_Weber,_am_Webstuhl_stehend.jpeg",1884,"Kröller-Müller Museum, Otterlo, Netherlands (F35)",#2D2F2D,#4F4E45,#3D3D3D,#343537,#393831
74,"Loom With Weaver also Weaver, Interior with Three Small Windows",Van_Gogh_-_Weber_in_einem_Raum_mit_drei_schmalen_Fenstern.jpeg,1884,"Kröller-Müller Museum, Otterlo, Netherlands (F37)",#433D34,#85765D,#5C564A,#514D44,#5E523D
75,Cart with Red and White Ox,Van_Gogh_-_Karren_mit_rotbraunem_Ochsen.jpeg,1884,"Kröller-Müller Museum, Otterlo, Netherlands (F38)",#95732B,#2B1F0C,#473820,#513F17,#51380A
76,Cart with Black Ox,Van_Gogh_-_Karren_mit_schwarzem_Ochsen.jpeg,1884,"Portland Art Museum, Portland, Oregon (F39)",#4B454F,#8C8690,#9E97A1,#817A84,#D5D1DA
77,The Old Tower in the Fields,Van_Gogh_-_Der_alte_Friedhofsturm_in_Nuenen2.jpeg,1884,Private collection (F40),#B55535,#9D523C,#DA8B39,#C86D2F,#C06442
78,Farmers Planting Potatoes,Van_Gogh_-_Bauern_beim_Kartoffelsetzen.jpeg,1884,"Kröller-Müller Museum, Otterlo, Netherlands (F41)",#585337,#DCCA90,#837343,#948965,#B09F57
79,Shepherd with a Flock of Sheep (b/w copy of painting),Van_Gogh_-_Hirte_mit_Schafsherde_(Nach_dem_Gewitter).jpeg,1884,"Soumaya Museum, Tizapán, Mexico (F42) ",#B5ADB7,#453B46,#6F6670,#655B66,#69606B
80,Wood Gatherers in the Snow,Van_Gogh_-_Holzsammler_im_Schnee.jpeg,1884,Private collection (F43),#D0BEA8,#BA9D64,#625437,#B39552,#A28D7A
81,Water Mill at Gennep,F46-Raderen-Genneper-watermolen.jpg,1884,"Noordbrabants Museum, 's-Hertogenbosch, Netherlands - on loan from the Netherlands Office for Fine Arts (F46)",#685121,#372312,#5F4A31,#A59157,#574122
82,Water Mill at Gennep,Van_Gogh_-_Wassermühle_in_Gennep2.jpeg,1884,Private collection (F47),#7C737E,#756C77,#716772,#B5AFB9,#4A414B
83,Water Mill at Opwetten,Vincent_van_Gogh_-_Water_mill_at_Opwetten_(1884).jpg,1884,Private collection (F48),#5A5841,#312F27,#474435,#79755B,#63614C
84,Water Mill at Kollen Near Nuenen,Van_Gogh_-_Wassermühle_in_Kollen_bei_Nuenen.jpeg,1884,Private collection (F48a),#645548,#3E332C,#5B4B3D,#7A7C87,#5F575E
85,"Still Life with Four Stone Bottles, Flask and White Cup","Van_Gogh_-_Stillleben_mit_vier_Krügen,_Flasche_und_weißen_Napf.jpeg",1884,"Kröller-Müller Museum, Otterlo (F50)",#635134,#605740,#524D3B,#35352D,#887150
86,"Still Life with Coffee Mill, Pipe Case and Jug also Still Life with a Bearded-Man Jar","Van_Gogh_-_Stillleben_mit_Bartmannkrug,_Kaffeemühle_und_Pfeifenetui.jpeg",1884,"Kröller-Müller Museum, Otterlo (F52)",#907553,#5F5843,#464338,#36362F,#524D3D
87,Still Life with Clogs and Pots,Van_Gogh_-_Stillleben_mit_Steingut_und_Holzschuhen.jpeg,1884,"Centraal Museum, Utrecht, Netherlands (on loan) (F54)",#68583F,#A08457,#7B6038,#3E372F,#5E513C
88,Still Life with Two Sacks and a Bottle (b/w copy),Van_Gogh_-_Stillleben_mit_zwei_Tüten_und_Flasche.jpeg,1884,Private collection (F55),#8A7B49,#605546,#645536,#5B4F37,#3E362B
89,Still Life with Five Bottles,Van_Gogh_-_Stillleben_mit_Flaschen.jpeg,1884,"Österreichische Galerie Belvedere, Vienna (F56)",#9C8767,#5D4E3E,#665745,#433B31,#70604D
90,Still Life with Pottery and Two Bottles,Van_Gogh_-_Stillleben_mit_Steingut_und_Flaschen.jpeg,1884,"Norton Simon Museum, Pasadena, California (F57)",#6E6973,#635E68,#BAB6BF,#403B45,#77727C
91,"Still Life with Pottery, Beer Glass and a Bottle","Van_Gogh_-_Stillleben_mit_Steingut,_Bierglas_und_Flasche.jpeg",1884,Private Collection (F58),#A19BA5,#4C454F,#69636D,#716B75,#746E78
92,Still Life with Paintbrushes in a Pot,Van_Gogh_-_Stillleben_mit_Pinseln_in_einem_Blumentopf.jpeg,1884,Private collection (F60),#765C35,#876C3B,#705737,#7C623B,#85683E
93,Still Life with Bottles and Earthenware,Stilleven_met_flessen_en_aardewerk_-_s0060V1962r_-_Van_Gogh_Museum.jpg,1884–85,"Van Gogh Museum, Amsterdam (F61r)",#2F2C1B,#3D3928,#3A3724,#302E20,#232114
94,Still Life with Bottles and a Cowrie Shell,"Van_Gogh_-_Stillleben_mit_Flaschen,_Vase_und_Muschel.jpeg",1884,Private collection (F64),#4E4851,#413B42,#403A42,#4C464D,#4A444C
95,Head of an Old Peasant Woman with White Cap,Van_Gogh_-_Kopf_einer_alten_Bäuerin_mit_weißer_Haube.jpeg,1884,"Von der Heydt Museum, Wuppertal, Germany (F75)",#785A44,#352D2C,#684421,#BA9456,#4A3D3B
96,Vase with Honesty,Van_Gogh_-_Vase_mit_Mondviolen.jpeg,1884–85,"Van Gogh Museum, Amsterdam (F76)",#898360,#817946,#B8B47F,#373327,#5E5944
97,Old Church Tower at Nuenen,Van_Gogh_-_Der_alte_Friedhofsturm_in_Nuenen.jpeg,1884,"Foundation E.G. Bührle Collection, Zürich (F88)",#99897B,#6C4F37,#A98F6B,#D1BBA5,#A79579
98,Lane in Autumn,Lane-in-autumn-1884.jpg,1884,Private collection (F120),#645D4B,#6E6755,#817A68,#C4BBAC,#38311F
99,Avenue of Poplars in Autumn,Van_Gogh_-_Pappelallee_im_Herbst.jpeg,1884,"Van Gogh Museum, Amsterdam (F122)",#444336,#6A6657,#946C49,#67573D,#72654D
100,Avenue of Poplars at Sunset,Van_Gogh_-Pappelallee_bei_Sonnenuntergang.jpeg,1884,"Kröller-Müller Museum, Otterlo, Netherlands (F123)",#69614C,#6D604F,#524A3D,#908065,#675B49
101,Water Mill at Gennep (b/w copy),Van_Gogh_-_Wassermühle_in_Gennep.jpeg,1884,"Museo Thyssen-Bornemisza, Madrid, Spain (F125)",#948D97,#59515B,#827B85,#CBC9D1,#8A838D
102,Head of a Peasant Woman,Van_Gogh_-_Kopf_einer_Bäuerin.jpeg,1884,Private collection (F132),#524853,#695F6A,#A39AA5,#766C77,#706671
103,Head of a Peasant Woman with Dark Cap,Van_Gogh_-_Kopf_einer_Bäuerin_mit_dunkler_Haube1.jpeg,1884,Private collection (F136a),#554C3F,#494339,#A87856,#36322E,#705843
104,"Peasant Woman, Half Figure, Seated with White Cap","Van_Gogh_-_Bäuerin,_sitzend,_mit_weißer_Haube.jpeg",1884,"Morohashi Museum of Modern Art: Kita-Shiobara-Mura (Fukushima), Japan (F143)",#A77351,#544538,#423932,#2D292A,#8E8B79
105,Head of a Peasant Woman with White Cap,Van_Gogh_-_Kopf_einer_Bäuerin_mit_weißer_Haube3.jpeg,1884,"Galerie Nathan, Zurich (F144)",#5D4F3D,#66523D,#443524,#5B4A39,#938978
106,Head of an Old Peasant Woman with White Cap,Van_Gogh_-_Kopf_einer_alten_Bäuerin_mit_weißer_Haube2.jpeg,1884,Private collection (F146),#C5A666,#6B4E34,#8B6B45,#54371B,#362F2F
107,Head of a Peasant Woman with White Cap,Van_Gogh_-_Kopf_einer_Bäuerin_mit_weißer_Haube.jpeg,1884,"Saint Louis Art Museum, St Louis, Missouri (F146a)",#5D4739,#41362E,#524334,#57493A,#846547
108,Head of a Peasant with Cap (b/w copy),Van_Gogh_-_Kopf_eines_Bauern_mit_Mütze.jpeg,1884,"Art Gallery of New South Wales, Sydney, Australia (F160a)",#4E454F,#5D535E,#3D343E,#827983,#574D57
109,Weaver Facing Right (Half-Figure),Van_Gogh_-_Weber_am_Webstuhl_-_(Profil_nach_rechts)3.jpeg,1884,Private collection (F162),#AA926B,#3C332A,#7A6451,#716859,#755D45
110,Potato Planting,Van_Gogh_-_Kartoffelsetzen.jpg,1884,"Von der Heydt Museum, Wuppertal, Germany (F172)",#B9AE7F,#978F70,#907F50,#584829,#E0E3C8
111,Two Rats,Van_Gogh_-_Zwei_Ratten.jpeg,1884,Private collection (F177),#403840,#B7B2BB,#79737B,#837D86,#6D666E
112,"Still Life with Pots, Jar and Bottles","Van_Gogh_-_Stilleben_mit_Steingut,_Bierglas_und_Flaschen.jpeg",1884,"Gemeentemuseum Den Haag, The Hague (F178r)",#5B4A41,#42352E,#725743,#9C7958,#624734
113,The Old Tower of Nuenen with People Walking,Van_Gogh_-_Der_alte_Friedhofsturm_in_Nuenen_mit_drei_Figuren.jpeg,1884,Private collection (F184),#413B44,#D8D5DE,#B2ACB6,#9D959F,#847B86
114,"Parsonage Garden at Nuenen, The",Van_Gogh_-_Der_Pfarrgarten_in_Nuenen_mit_weiblicher_Figur.jpeg,1884,"Groninger Museum, Groningen, Netherlands (F185)",#6C5D42,#645645,#958157,#483C2E,#655437
115,Village at Sunset also Farmer Town in the Evening,Van_Gogh_-_Dorf_bei_Sonnenuntergang.jpeg,1884,Rijksmuseum Amsterdam (F190),#6E704B,#525946,#5D654F,#676E52,#6C704D
116,Vase with Dead Leaves,Van_Gogh_-_Vase_mit_verwelkten_Blätter.jpeg,1884,Private collection (F200),#674B39,#584C47,#42332B,#675142,#8D725B
117,"Loom With Weaver also Weaver at the Loom, drawing",Van_Gogh_-_Weber_am_Webstuhl_-_(Profil_nach_rechts)2.jpeg,1884,"Kröller-Müller Museum, Otterlo, Netherlands (F1122)",#AA9973,#46402D,#6E664D,#6B6247,#75694C
118,"Weaver Standing in front of the Loom, drawing",Van_Gogh_-_Weber_am_Webstuhl.jpeg,1884,"Kröller-Müller Museum, Otterlo, Netherlands (F1134)",#837E87,#565158,#3A353E,#544F58,#57515B
119,Head of a Woman,Van_Gogh_-_Kopf_einer_Bäuerin_mit_weißer_Haube2.jpeg,1884–85,"Van Gogh Museum, Amsterdam (F156)",#4C372C,#52433B,#3A3437,#30292A,#997059
120,Head of a Woman,Van_Gogh_-_Kopf_einer_Bäuerin_mit_dunkler_Haube3.jpeg,1884–85,"Van Gogh Museum, Amsterdam (F159)",#8D814B,#756641,#615241,#453C32,#655336
121,Head of a Man,Van_Gogh_-_Kopf_eines_jungen_Bauern_mit_Pfeife.jpeg,1884–85,"Van Gogh Museum, Amsterdam (F164)",#6F4B3C,#3E312D,#6E554D,#4C3732,#6F5044
122,Woman Winding Yarn,Van_Gogh_-_Frau_am_Spinnrad.jpeg,1885,"Van Gogh Museum, Amsterdam (F36)",#4D4038,#46382D,#342C26,#53402E,#695845
123,Autumn Landscape with Four Trees,Autumn_landscape.jpg,1885,"Kröller-Müller Museum, Otterlo, Netherlands (F44)",#857B61,#C7BFA9,#3B3119,#736647,#635637
124,Lane with Poplars,Van_Gogh_-_Pappelallee_bei_Nuenen.jpeg,1885,"Museum Boijmans Van Beuningen, Rotterdam (F45)",#4B452C,#685C39,#54431B,#2F240B,#493D1E
125,Beer Tankards,Van_Gogh_-_Stillleben_mit_drei_Bierkrügen.jpeg,1885,"Van Gogh Museum, Amsterdam (F49)",#3E3531,#594D44,#635040,#5C514B,#917B66
126,Still Life with Brass Cauldron and Jug,"Van_Gogh_-_Stillleben_mit_Kupferkessel,_Krug_und_Kartoffeln.jpeg",1885,"Van Gogh Museum, Amsterdam (F51)",#2B2B2B,#44463A,#33362B,#3C3E34,#686954
127,Still Life with Earthenware and Bottles,Van_Gogh_-_Stillleben_mit_drei_Flaschen_und_Steingut.jpeg,1885,"Van Gogh Museum, Amsterdam (F53)",#524F41,#A5915B,#73664D,#6E5D35,#373730
128,Still Life with Two Jars and Two Pumpkins,Van_Gogh_-_Stillleben_mit_zwei_Krügen_und_Kürbissen.jpeg,1885,Private collection (F59),#4D4A2B,#37362D,#4B493C,#605E38,#998E4C
129,Still Life with Straw Hat also Still Life with Yellow Straw Hat,Vincent_Willem_van_Gogh_129.jpg,1885,"Kröller-Müller Museum, Otterlo (F62)",#503424,#805E42,#C39B67,#281A1A,#74492A
130,"Still Life with Earthenware, Bottle and Clogs","Van_Gogh_-_Stillleben_mit_Tontopf,_Flasche_und_Holzschuhen.jpeg",1885,"Kröller-Müller Museum, Otterlo, Netherlands (F63)",#9E774D,#635039,#5C4831,#33332C,#504A3D
131,Head of a Peasant Woman with White Cap,Van_Gogh_-_Kopf_einer_Bäuerin_mit_weißer_Haube1.jpeg,1885,Location unknown (F65),#696059,#665C54,#756354,#463F39,#A9886D
132,Two Hands,Van_Gogh_-_Zwei_Hände.jpeg,1885,Private collection (F66),#816D39,#8C7F59,#BFA851,#675E46,#786F51
133,The Parsonage Garden at Nuenen in the Snow,Van_Gogh_-_Der_Pfarrgarten_in_Nuenen_im_Schnee.jpeg,1885,"Hammer Museum, Los Angeles (F67)",#714A36,#C6AD9B,#AD8460,#9A7363,#A07868
134,"Old Station at Eindhoven, The",Van_Gogh_-_Der_alte_Bahnhof_in_Eindhoven.jpeg,1885,Private Collection (F67a),#AB956B,#917441,#4A3628,#7E6333,#7F6A55
135,Head of a Woman,Van_Gogh_-_Kopf_einer_Bäurin_mit_dunkler_Haube20.jpeg,1885,"Van Gogh Museum, Amsterdam (F69)",#4F4E3C,#A18A42,#5E5C3F,#7A7F5E,#373930
136,"Peasant Woman, Seen against the Window",Van_Gogh_-_Kopf_einer_Bäuerin_vor_dem_Fenster.jpeg,1885,"Private collection, Tokyo (F70)",#7B737C,#655D66,#453C45,#979099,#D8D3DB
